range,count,cumulative_count
0-20000,17025,17025
20000-40000,6842,23867
40000-60000,1757,25624
60000-80000,779,26403
80000-100000,275,26678
100000-120000,473,27151
120000-140000,169,27320
140000-160000,211,27531
160000-180000,369,27900
180000-200000,69,27969
200000-220000,164,28133
220000-240000,71,28204
240000-260000,119,28323
260000-280000,86,28409
280000-300000,15,28424
300000-320000,37,28461
320000-340000,44,28505
340000-360000,51,28556
360000-380000,34,28590
380000-400000,33,28623
400000-420000,16,28639
420000-440000,43,28682
440000-460000,12,28694
460000-480000,7,28701
480000-500000,31,28732
500000-520000,24,28756
520000-540000,8,28764
540000-560000,54,28818
560000-580000,2,28820
580000-600000,4,28824
600000-620000,40,28864
620000-640000,16,28880
640000-660000,28,28908
660000-680000,4,28912
680000-700000,2,28914
700000-720000,4,28918
740000-760000,4,28922
760000-780000,4,28926
780000-800000,1,28927
800000-820000,10,28937
820000-840000,1,28938
840000-860000,2,28940
860000-880000,1,28941
880000-900000,2,28943
900000-920000,3,28946
920000-940000,2,28948
980000-1000000,4,28952
1000000-1020000,3,28955
1020000-1040000,4,28959
1040000-1060000,2,28961
1060000-1080000,4,28965
1140000-1160000,2,28967
1160000-1180000,1,28968
1220000-1240000,5,28973
1280000-1300000,1,28974
1440000-1460000,1,28975
1580000-1600000,1,28976
1620000-1640000,40,29016
1740000-1760000,1,29017
2020000-2040000,2,29019
2100000-2120000,1,29020
2700000-2720000,1,29021
2920000-2940000,2,29023
3560000-3580000,23,29046
